year,month,temp,precip
2016,1,13.751612903225807,0.5693870967741935
2016,2,15.789655172413791,0.1783448275862069
2016,3,17.419354838709676,0.535516129032258
2016,4,20.313333333333333,0.6032666666666666
2016,5,21.04516129032258,2.692290322580645
2016,6,18.456666666666667,6.786066666666667
2016,7,18.306451612903224,6.8843225806451604
2016,8,18.161290322580644,8.768548387096773
2016,9,17.236666666666668,4.558566666666667
2016,10,16.31935483870968,1.3690967741935485
2016,11,14.27,2.6732
2016,12,14.848387096774195,0.2989677419354838
2017,1,13.574193548387097,0.0
2017,2,15.160714285714286,0.004928571428571429
2017,3,16.238709677419354,1.6790645161290323
2017,4,18.196666666666665,0.8564
2017,5,19.716129032258067,3.156516129032258
2017,6,18.756666666666668,2.3489
2017,7,16.86774193548387,7.937903225806451
2017,8,17.593548387096774,9.184354838709679
2017,9,17.043333333333333,4.8242
2017,10,16.425806451612903,2.178451612903226
2017,11,14.5,0.013333333333333334
2017,12,13.374193548387096,0.0
2018,1,12.17741935483871,0.2749032258064516
2018,2,15.828571428571427,0.8608571428571429
2018,3,17.816129032258065,0.09322580645161291
2018,4,18.136666666666667,5.4141
2018,5,19.07741935483871,7.049870967741935
2018,6,17.683333333333334,8.312233333333333
2018,7,17.42258064516129,5.912516129032259
2018,8,16.661290322580644,8.344935483870968
2018,9,16.966666666666665,9.001900000000001
2018,10,16.858064516129033,2.9187419354838706
2018,11,14.856666666666666,1.4117333333333333
2018,12,13.506451612903225,0.012096774193548387
2019,1,13.916129032258064,0.2828064516129032
2019,2,17.110714285714288,0.5592499999999999
2019,3,18.41290322580645,1.2537096774193548
2019,4,19.07,1.0164666666666666
2019,5,20.603225806451615,1.6833225806451613
2019,6,18.7,5.196933333333334
2019,7,17.074193548387097,5.22074193548387
2019,8,18.080645161290324,5.330967741935484
2019,9,17.45,3.7048666666666668
2019,10,17.112903225806452,3.661548387096774
2019,11,16.49,0.7695000000000001
2019,12,14.432258064516128,0.0
2020,1,14.364516129032259,0.171
2020,2,17.075862068965517,0.604
2020,3,18.751612903225805,2.086129032258065
